Mã Công Ty/CN,Công Ty/CN,Ngày Chứng Từ,Số Đơn Đặt Hàng,Số Đơn Trả Hàng,Ngày Trả Hàng,Hóa Đơn,Ngày Tới Hạn TT,Số Hợp Đồng,Trạng Thái,Mã KH Thuế,Tên KH Thuế,Địa Chỉ KH Thuế,Mã Số Thuế,Mã KH DMS,Mã KH Cũ,Tên Khách Hàng,Địa Chỉ KH,Mã Vùng BH,Tên Vùng BH,Mã Khu Vực,Tên Khu Vực,Mã Tỉnh KH,Tên Tỉnh KH,Mã Quận/HUyện,Tên Quận/HUyện,Phường/Xã,Mã Kênh KH,Tên Kênh KH,Mã Kênh Phụ,Tên Kênh Phụ,Mã HCO,Tên HCO,Mã Phân Loại HCO,Tên Phân Loại HCO,Mã Phân Hạng HCO,Tên Phân Hạng HCO,Mã Sản Phẩm,Tên Sản Phẩm NB,Tên Sản Phẩm Viết Tắt,Số Lô,Số Lượng,Đơn Giá (Có VAT),Doanh Số (Có VAT),Đơn Giá (Chưa VAT),Doanh Số (Chưa VAT),Ngày Đặt Đon,Người Tạo Đơn,Ngày Giao Hàng,Mã NV,Tên CVBH,Tên Quản Lý TT,Tên Quản Lý Khu Vực,Tên Quản Lý Vùng,Mã NVGH,Người Giao hàng,Trạng Thái Giao Hàng,Sổ Xuất Hàng,Đơn Vị Giao Hàng,Tên Nhà Vận Chuyển,Số Xe,Người Chịu Trách Nhiệm Nợ,Kiểu Đơn Hàng,Mã Lý Do,Mã CSBH,Tên CSBH,Mã CTKM,Tên CTKM,Mã CTTL,Tên CTTL,Người Liên Hệ,Số Điện Thoại
MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,2021-09-02 00:00:00.000,DH092021-00123,,01/01/1900,0001392,01/11/2021,,Đã Phát Hành,V4711-0001,Công Ty Cổ Phần Dược Phẩm FPT Long Châu,"379-381 Hai Bà Trưng, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",0315275368,M0318001,M0318001,CTy CP Dược Phẩm FPT Long Châu - Quận 3 - HCM,"379 Hai Bà Trưng, Phường 08, Quận 3, Thành phố Hồ Chí Minh",HCM,Hồ Chí Minh,9,Hồ Chí Minh 2,30,Thành phố Hồ Chí Minh,306,Quận 3,Phường 08,OTC,OTC,CHUOI,Chuỗi,MT,Modern Trade,MT,Modern Trade, ,,OH050,Xisat Viêm Mũi 75ml,XIS-VM75,0060821,500.0,28000.0,14000000.0,26667.0,13333500.0,2021-09-01 15:34:38.950,Nguyễn Thanh Như,02/09/2021,MR0868,Nguyễn Thị Nga,Nguyễn Thị Nga,Nguyễn Thị Nga,Nguyễn Thị Nga,MR0246,Nguyễn Văn Tuấn,Chưa xác nhận,202109000000100,Pha Nam,,,Nguyễn Văn Tuấn,IN,,CSBH2104OTC-04QD/MR-XOS,MR- Chính sách bán hàng kênh MT - OTC,,,,, , 
MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,2021-09-02 00:00:00.000,DH092021-00123,,01/01/1900,0001392,01/11/2021,,Đã Phát Hành,V4711-0001,Công Ty Cổ Phần Dược Phẩm FPT Long Châu,"379-381 Hai Bà Trưng, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",0315275368,M0318001,M0318001,CTy CP Dược Phẩm FPT Long Châu - Quận 3 - HCM,"379 Hai Bà Trưng, Phường 08, Quận 3, Thành phố Hồ Chí Minh",HCM,Hồ Chí Minh,9,Hồ Chí Minh 2,30,Thành phố Hồ Chí Minh,306,Quận 3,Phường 08,OTC,OTC,CHUOI,Chuỗi,MT,Modern Trade,MT,Modern Trade, ,,OH051,Xisat Hàng Ngày 75ml (Xanh),XIS-X75,0200821,500.0,24500.0,12250000.0,23333.0,11666500.0,2021-09-01 15:34:38.950,Nguyễn Thanh Như,02/09/2021,MR0868,Nguyễn Thị Nga,Nguyễn Thị Nga,Nguyễn Thị Nga,Nguyễn Thị Nga,MR0246,Nguyễn Văn Tuấn,Chưa xác nhận,202109000000100,Pha Nam,,,Nguyễn Văn Tuấn,IN,,CSBH2104OTC-04QD/MR-XOS,MR- Chính sách bán hàng kênh MT - OTC,,,,, , 
MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,2021-09-02 00:00:00.000,DH092021-00123,,01/01/1900,0001392,01/11/2021,,Đã Phát Hành,V4711-0001,Công Ty Cổ Phần Dược Phẩm FPT Long Châu,"379-381 Hai Bà Trưng, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",0315275368,M0318001,M0318001,CTy CP Dược Phẩm FPT Long Châu - Quận 3 - HCM,"379 Hai Bà Trưng, Phường 08, Quận 3, Thành phố Hồ Chí Minh",HCM,Hồ Chí Minh,9,Hồ Chí Minh 2,30,Thành phố Hồ Chí Minh,306,Quận 3,Phường 08,OTC,OTC,CHUOI,Chuỗi,MT,Modern Trade,MT,Modern Trade, ,,OH052,Xisat Hàng Ngày 75ml (Hồng),XIS-H75,0160821,500.0,27000.0,13500000.0,25714.0,12857000.0,2021-09-01 15:34:38.950,Nguyễn Thanh Như,02/09/2021,MR0868,Nguyễn Thị Nga,Nguyễn Thị Nga,Nguyễn Thị Nga,Nguyễn Thị Nga,MR0246,Nguyễn Văn Tuấn,Chưa xác nhận,202109000000100,Pha Nam,,,Nguyễn Văn Tuấn,IN,,CSBH2104OTC-04QD/MR-XOS,MR- Chính sách bán hàng kênh MT - OTC,,,,, , 
MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,2021-09-02 00:00:00.000,DH092021-00151,,01/01/1900,0001393,01/11/2021,,Đã Phát Hành,V4711-0001,Công Ty Cổ Phần Dược Phẩm FPT Long Châu,"379-381 Hai Bà Trưng, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",0315275368,M0318001,M0318001,CTy CP Dược Phẩm FPT Long Châu - Quận 3 - HCM,"379 Hai Bà Trưng, Phường 08, Quận 3, Thành phố Hồ Chí Minh",HCM,Hồ Chí Minh,9,Hồ Chí Minh 2,30,Thành phố Hồ Chí Minh,306,Quận 3,Phường 08,OTC,OTC,CHUOI,Chuỗi,MT,Modern Trade,MT,Modern Trade, ,,EH086,Benita,BNT,0060521,23.0,90000.0,2070000.0,85714.0,1971422.0,2021-09-01 15:22:29.713,Nguyễn Thanh Như,02/09/2021,MR0868,Nguyễn Thị Nga,Nguyễn Thị Nga,Nguyễn Thị Nga,Nguyễn Thị Nga,MR0246,Nguyễn Văn Tuấn,Chưa xác nhận,202109000000100,Pha Nam,,,Nguyễn Văn Tuấn,IN,,CSBH2104OTC-04QD/MR-SPCL,MR- Chính sách bán hàng kênh MT - OTC,,,,, , 
MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,2021-09-02 00:00:00.000,DH092021-00151,,01/01/1900,0001393,01/11/2021,,Đã Phát Hành,V4711-0001,Công Ty Cổ Phần Dược Phẩm FPT Long Châu,"379-381 Hai Bà Trưng, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",0315275368,M0318001,M0318001,CTy CP Dược Phẩm FPT Long Châu - Quận 3 - HCM,"379 Hai Bà Trưng, Phường 08, Quận 3, Thành phố Hồ Chí Minh",HCM,Hồ Chí Minh,9,Hồ Chí Minh 2,30,Thành phố Hồ Chí Minh,306,Quận 3,Phường 08,OTC,OTC,CHUOI,Chuỗi,MT,Modern Trade,MT,Modern Trade, ,,EH087,Meseca,MSC,0030521,10.0,96000.0,960000.0,91429.0,914290.0,2021-09-01 15:22:29.713,Nguyễn Thanh Như,02/09/2021,MR0868,Nguyễn Thị Nga,Nguyễn Thị Nga,Nguyễn Thị Nga,Nguyễn Thị Nga,MR0246,Nguyễn Văn Tuấn,Chưa xác nhận,202109000000100,Pha Nam,,,Nguyễn Văn Tuấn,IN,,CSBH2104OTC-04QD/MR-SPCL,MR- Chính sách bán hàng kênh MT - OTC,,,,, , 
MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,2021-09-02 00:00:00.000,DH092021-00151,,01/01/1900,0001393,01/11/2021,,Đã Phát Hành,V4711-0001,Công Ty Cổ Phần Dược Phẩm FPT Long Châu,"379-381 Hai Bà Trưng, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",0315275368,M0318001,M0318001,CTy CP Dược Phẩm FPT Long Châu - Quận 3 - HCM,"379 Hai Bà Trưng, Phường 08, Quận 3, Thành phố Hồ Chí Minh",HCM,Hồ Chí Minh,9,Hồ Chí Minh 2,30,Thành phố Hồ Chí Minh,306,Quận 3,Phường 08,OTC,OTC,CHUOI,Chuỗi,MT,Modern Trade,MT,Modern Trade, ,,EH091,Syseye 10ml,SSE,0050521,4.0,25000.0,100000.0,23810.0,95240.0,2021-09-01 15:22:29.713,Nguyễn Thanh Như,02/09/2021,MR0868,Nguyễn Thị Nga,Nguyễn Thị Nga,Nguyễn Thị Nga,Nguyễn Thị Nga,MR0246,Nguyễn Văn Tuấn,Chưa xác nhận,202109000000100,Pha Nam,,,Nguyễn Văn Tuấn,IN,,CSBH2104OTC-04QD/MR-SPCL,MR- Chính sách bán hàng kênh MT - OTC,,,,, , 
MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,2021-09-02 00:00:00.000,DH092021-00151,,01/01/1900,0001393,01/11/2021,,Đã Phát Hành,V4711-0001,Công Ty Cổ Phần Dược Phẩm FPT Long Châu,"379-381 Hai Bà Trưng, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",0315275368,M0318001,M0318001,CTy CP Dược Phẩm FPT Long Châu - Quận 3 - HCM,"379 Hai Bà Trưng, Phường 08, Quận 3, Thành phố Hồ Chí Minh",HCM,Hồ Chí Minh,9,Hồ Chí Minh 2,30,Thành phố Hồ Chí Minh,306,Quận 3,Phường 08,OTC,OTC,CHUOI,Chuỗi,MT,Modern Trade,MT,Modern Trade, ,,EH092,Medoral 250ml,MDR,0460821,271.0,90000.0,24390000.0,85714.0,23228494.0,2021-09-01 15:22:29.713,Nguyễn Thanh Như,02/09/2021,MR0868,Nguyễn Thị Nga,Nguyễn Thị Nga,Nguyễn Thị Nga,Nguyễn Thị Nga,MR0246,Nguyễn Văn Tuấn,Chưa xác nhận,202109000000100,Pha Nam,,,Nguyễn Văn Tuấn,IN,,CSBH2104OTC-04QD/MR-SPCL,MR- Chính sách bán hàng kênh MT - OTC,,,,, , 
MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,2021-09-02 00:00:00.000,DH092021-00144,,01/01/1900,0001394,01/11/2021,,Đã Phát Hành,V4711-0001,Công Ty Cổ Phần Dược Phẩm FPT Long Châu,"379-381 Hai Bà Trưng, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",0315275368,M0318001,M0318001,CTy CP Dược Phẩm FPT Long Châu - Quận 3 - HCM,"379 Hai Bà Trưng, Phường 08, Quận 3, Thành phố Hồ Chí Minh",HCM,Hồ Chí Minh,9,Hồ Chí Minh 2,30,Thành phố Hồ Chí Minh,306,Quận 3,Phường 08,OTC,OTC,CHUOI,Chuỗi,MT,Modern Trade,MT,Modern Trade, ,,OH051,Xisat Hàng Ngày 75ml (Xanh),XIS-X75,0200821,200.0,24500.0,4900000.0,23333.0,4666600.0,2021-09-01 15:27:50.397,Nguyễn Thanh Như,02/09/2021,MR0868,Nguyễn Thị Nga,Nguyễn Thị Nga,Nguyễn Thị Nga,Nguyễn Thị Nga,MR0025,Phạm Ngọc Trường,Đã giao hàng,202109A00000117,Pha Nam,,,Phạm Ngọc Trường,IN,,CSBH2104OTC-04QD/MR-XOS,MR- Chính sách bán hàng kênh MT - OTC,,,,, , 
MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,2021-09-02 00:00:00.000,DH092021-00144,,01/01/1900,0001394,01/11/2021,,Đã Phát Hành,V4711-0001,Công Ty Cổ Phần Dược Phẩm FPT Long Châu,"379-381 Hai Bà Trưng, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",0315275368,M0318001,M0318001,CTy CP Dược Phẩm FPT Long Châu - Quận 3 - HCM,"379 Hai Bà Trưng, Phường 08, Quận 3, Thành phố Hồ Chí Minh",HCM,Hồ Chí Minh,9,Hồ Chí Minh 2,30,Thành phố Hồ Chí Minh,306,Quận 3,Phường 08,OTC,OTC,CHUOI,Chuỗi,MT,Modern Trade,MT,Modern Trade, ,,OH051,Xisat Hàng Ngày 75ml (Xanh),XIS-X75,0220821,800.0,24500.0,19600000.0,23333.0,18666400.0,2021-09-01 15:27:50.397,Nguyễn Thanh Như,02/09/2021,MR0868,Nguyễn Thị Nga,Nguyễn Thị Nga,Nguyễn Thị Nga,Nguyễn Thị Nga,MR0025,Phạm Ngọc Trường,Đã giao hàng,202109A00000117,Pha Nam,,,Phạm Ngọc Trường,IN,,CSBH2104OTC-04QD/MR-XOS,MR- Chính sách bán hàng kênh MT - OTC,,,,, , 
MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,2021-09-02 00:00:00.000,DH092021-00144,,01/01/1900,0001394,01/11/2021,,Đã Phát Hành,V4711-0001,Công Ty Cổ Phần Dược Phẩm FPT Long Châu,"379-381 Hai Bà Trưng, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",0315275368,M0318001,M0318001,CTy CP Dược Phẩm FPT Long Châu - Quận 3 - HCM,"379 Hai Bà Trưng, Phường 08, Quận 3, Thành phố Hồ Chí Minh",HCM,Hồ Chí Minh,9,Hồ Chí Minh 2,30,Thành phố Hồ Chí Minh,306,Quận 3,Phường 08,OTC,OTC,CHUOI,Chuỗi,MT,Modern Trade,MT,Modern Trade, ,,OH052,Xisat Hàng Ngày 75ml (Hồng),XIS-H75,0160821,500.0,27000.0,13500000.0,25714.0,12857000.0,2021-09-01 15:27:50.397,Nguyễn Thanh Như,02/09/2021,MR0868,Nguyễn Thị Nga,Nguyễn Thị Nga,Nguyễn Thị Nga,Nguyễn Thị Nga,MR0025,Phạm Ngọc Trường,Đã giao hàng,202109A00000117,Pha Nam,,,Phạm Ngọc Trường,IN,,CSBH2104OTC-04QD/MR-XOS,MR- Chính sách bán hàng kênh MT - OTC,,,,, , 
