,branchid,branchname,siteid,tenkho,class,invtid,tensanpham,tenspviettat,stkunit,quycachdonggoi,quycachthung,lotsernbr,expdate,sothangconlai,tondau,nhapmuahang,"nhapkhacnhap,chuyen,dieuchinh",xuatban,nhaptra,"xuatkhacxuat,chuyen,dieuchinh",dcbbxuat,dcbbnhap,toncuoi,sltreohoadonao,sltreochuataohoadon,toncuoisosach,giaban,tttoncuoi
0,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH065,Mecefix-B.E 250mg,MB.E250,Hộp,Cefixim trihydrat 250 mg,(160hộp/thùng),0030521,2024-11-30,,964.0,0.0,0.0,-52.0,0.0,0.0,0.0,0.0,912.0,-10.0,0.0,902.0,0.0,0.0
1,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH066,Mecefix-B.E 50mg,MB.E50,Hộp,Cefixim trihydrat 50 mg,(102hộp/thùng),0020321,2023-09-23,,1093.0,0.0,0.0,-32.0,0.0,0.0,0.0,0.0,1061.0,-17.0,-3.0,1041.0,0.0,0.0
2,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH067,Mecefix-B.E 75mg,MB.E75,Hộp,Cefixim trihydrat 75 mg,(102hộp/thùng),0030321,2023-09-21,,964.0,0.0,0.0,-39.0,0.0,0.0,0.0,0.0,925.0,-37.0,0.0,888.0,0.0,0.0
3,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH067,Mecefix-B.E 75mg,MB.E75,Hộp,Cefixim trihydrat 75 mg,(102hộp/thùng),0040621,2023-12-13,,1530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1530.0,0.0,0.0,1530.0,0.0,0.0
4,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH068,Mecefix-B.E 150mg,MB.E150,Hộp,Cefixim trihydrat 150 mg,(160hộp/thùng),0020521,2024-11-09,,911.0,0.0,0.0,-142.0,0.0,0.0,0.0,0.0,769.0,0.0,0.0,769.0,0.0,0.0
5,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH069,Mecefix-B.E 200mg,MB.E200,Hộp,Cefixim trihydrat  200 mg,(160hộp/thùng),0010122,2025-07-02,,709.0,0.0,0.0,-104.0,0.0,0.0,0.0,0.0,605.0,0.0,0.0,605.0,0.0,0.0
6,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH070,Efodyl 500mg,EFD500,Hộp,Cefuroxim acetil,(160hộp/thùng),0010122,2025-07-13,,1276.0,0.0,0.0,-70.0,0.0,0.0,0.0,0.0,1206.0,-5.0,0.0,1201.0,0.0,0.0
7,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH072,Meceta 500mg,MCT500,Hộp,Cefalexin (dưới dạng Cefalexin Monohydrate 500mg),(120hộp/thùng),0010322,2025-09-03,,0.0,0.0,840.0,-23.0,0.0,0.0,0.0,0.0,817.0,0.0,0.0,817.0,0.0,0.0
8,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH072,Meceta 500mg,MCT500,Hộp,Cefalexin (dưới dạng Cefalexin Monohydrate 500mg),(120hộp/thùng),0030521,2024-11-02,,40.0,0.0,0.0,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH074,Metodex 5ml,MTD,Hộp,Tobramycin + Dexamethason,(300hộp/thùng),0051121,2023-10-31,,1484.0,0.0,0.0,-151.0,0.0,0.0,0.0,0.0,1333.0,-18.0,0.0,1315.0,0.0,0.0
