masanpham,tensanpham,donvi,chinhanh,songaynhan,tonao,tonhangdiduong,toncn,tonhcm,tonmerap,tonvime
EH020,Trimafort 10ml,HOP,HN,1.0,0.0,0.0,18.0,0.0,0.0,0.0
EH020,Trimafort 10ml,HOP,KH,5.0,-5.0,0.0,37.0,0.0,0.0,0.0
EH065,Mecefix-B.E 250mg,HOP,CT,7.0,0.0,320.0,41.0,0.0,0.0,0.0
EH065,Mecefix-B.E 250mg,HOP,DNAI,6.0,-2.0,0.0,618.0,50.0,0.0,0.0
EH065,Mecefix-B.E 250mg,HOP,DNANG,5.0,-10.0,0.0,873.0,760.0,0.0,0.0
EH065,Mecefix-B.E 250mg,HOP,HCM,6.0,-3.0,0.0,800.0,0.0,0.0,0.0
EH065,Mecefix-B.E 250mg,HOP,HN,1.0,0.0,0.0,161.0,0.0,0.0,0.0
EH065,Mecefix-B.E 250mg,HOP,KH,5.0,0.0,0.0,45.0,60.0,0.0,0.0
EH065,Mecefix-B.E 250mg,HOP,NA,2.0,0.0,0.0,169.0,0.0,0.0,0.0
EH066,Mecefix-B.E 50mg,HOP,CT,7.0,-15.0,0.0,158.0,0.0,0.0,0.0
EH066,Mecefix-B.E 50mg,HOP,DNAI,6.0,-53.0,510.0,306.0,231.0,0.0,0.0
EH066,Mecefix-B.E 50mg,HOP,DNANG,5.0,0.0,0.0,419.0,0.0,0.0,0.0
EH066,Mecefix-B.E 50mg,HOP,HCM,6.0,-27.0,0.0,937.0,0.0,0.0,0.0
EH066,Mecefix-B.E 50mg,HOP,HN,1.0,-3.0,0.0,337.0,0.0,0.0,0.0
EH066,Mecefix-B.E 50mg,HOP,KH,5.0,0.0,0.0,117.0,92.0,0.0,0.0
EH066,Mecefix-B.E 50mg,HOP,NA,2.0,0.0,0.0,104.0,0.0,0.0,0.0
EH067,Mecefix-B.E 75mg,HOP,CT,7.0,0.0,204.0,63.0,0.0,0.0,0.0
EH067,Mecefix-B.E 75mg,HOP,DNAI,6.0,-119.0,510.0,364.0,50.0,0.0,0.0
EH067,Mecefix-B.E 75mg,HOP,DNANG,5.0,0.0,0.0,381.0,204.0,0.0,0.0
EH067,Mecefix-B.E 75mg,HOP,HCM,6.0,-34.0,0.0,2326.0,0.0,0.0,0.0
EH067,Mecefix-B.E 75mg,HOP,HN,1.0,-18.0,0.0,363.0,0.0,0.0,0.0
